dataset,datafile,filter_function,processing time
small,"icosahedral_graph.json",ev_3,0.007112979888916016
small,"icosahedral_graph.json",ev_4,0.007112979888916016
small,"icosahedral_graph.json",ev_5,0.007112979888916016
small,"icosahedral_graph.json",ev_norm_1,0.005115985870361328
small,"icosahedral_graph.json",ev_norm_2,0.005115985870361328
small,"icosahedral_graph.json",ev_norm_3,0.005115985870361328
small,"icosahedral_graph.json",ev_norm_4,0.005115985870361328
small,"icosahedral_graph.json",ev_norm_5,0.005115985870361328
small,"lollipop_graph(10,5).json",agd,0.0012767314910888672
small,"lollipop_graph(10,5).json",ecc,0.0015380382537841797
small,"lollipop_graph(10,5).json",pr_0_85,0.012763738632202148
small,"lollipop_graph(10,5).json",fv,0.010181903839111328
small,"lollipop_graph(10,5).json",fv_norm,0.010032176971435547
small,"lollipop_graph(10,5).json",den_0_5,0.0018010139465332031
small,"lollipop_graph(10,5).json",ev_1,0.0030891895294189453
small,"lollipop_graph(10,5).json",ev_2,0.0030891895294189453
small,"lollipop_graph(10,5).json",ev_3,0.0030891895294189453
small,"lollipop_graph(10,5).json",ev_4,0.0030891895294189453
small,"lollipop_graph(10,5).json",ev_5,0.0030891895294189453
small,"lollipop_graph(10,5).json",ev_norm_1,0.00504302978515625
small,"lollipop_graph(10,5).json",ev_norm_2,0.00504302978515625
small,"lollipop_graph(10,5).json",ev_norm_3,0.00504302978515625
small,"lollipop_graph(10,5).json",ev_norm_4,0.00504302978515625
small,"lollipop_graph(10,5).json",ev_norm_5,0.00504302978515625
small,"random_lobster(5,0_4,0_6).json",agd,0.0010211467742919922
small,"random_lobster(5,0_4,0_6).json",ecc,0.0013759136199951172
small,"random_lobster(5,0_4,0_6).json",pr_0_85,0.009330034255981445
small,"random_lobster(5,0_4,0_6).json",fv,0.011886119842529297
small,"random_lobster(5,0_4,0_6).json",fv_norm,0.012340068817138672
small,"random_lobster(5,0_4,0_6).json",den_0_5,0.00360107421875
small,"random_lobster(5,0_4,0_6).json",ev_1,0.004370212554931641
small,"random_lobster(5,0_4,0_6).json",ev_2,0.004370212554931641
small,"random_lobster(5,0_4,0_6).json",ev_3,0.004370212554931641
small,"random_lobster(5,0_4,0_6).json",ev_4,0.004370212554931641
