datafile,df_nodes,filter_func,cover_elem_count,component_method,connectivity_method,ranked,nodes,edges,compute_time
"random_lobster(100,0_6,0_4).json",596,fv,20,async_label_prop,connectivity,false,176,175,0.0248
"random_lobster(100,0_6,0_4).json",596,fv_norm,2,connected_components,connectivity,false,7,6,0.0062
"random_lobster(100,0_6,0_4).json",596,fv_norm,2,modularity,connectivity,false,41,40,0.0489
"random_lobster(100,0_6,0_4).json",596,fv_norm,2,async_label_prop,connectivity,false,179,178,0.0227
"random_lobster(100,0_6,0_4).json",596,fv_norm,20,connected_components,connectivity,false,494,495,0.0156
"random_lobster(100,0_6,0_4).json",596,fv_norm,20,modularity,connectivity,false,504,505,0.0339
"random_lobster(100,0_6,0_4).json",596,fv_norm,20,async_label_prop,connectivity,false,511,512,0.0206
"random_lobster(100,0_6,0_4).json",596,den_0_5,2,connected_components,connectivity,false,159,158,0.0091
"random_lobster(100,0_6,0_4).json",596,den_0_5,2,modularity,connectivity,false,166,165,0.0439
"random_lobster(100,0_6,0_4).json",596,den_0_5,2,async_label_prop,connectivity,false,262,261,0.0235
"random_lobster(100,0_6,0_4).json",596,den_0_5,20,connected_components,connectivity,false,579,604,0.017
"random_lobster(100,0_6,0_4).json",596,den_0_5,20,modularity,connectivity,false,579,604,0.0239
"random_lobster(100,0_6,0_4).json",596,den_0_5,20,async_label_prop,connectivity,false,581,608,0.0196
"hic_5k_net_6.json",192,agd,2,connected_components,connectivity,false,2,1,0.0152
"hic_5k_net_6.json",192,agd,2,modularity,connectivity,false,4,3,0.189
"hic_5k_net_6.json",192,agd,2,async_label_prop,connectivity,false,4,3,0.1285
"hic_5k_net_6.json",192,agd,20,connected_components,connectivity,false,20,92,0.0155
"hic_5k_net_6.json",192,agd,20,modularity,connectivity,false,27,169,0.0678
"hic_5k_net_6.json",192,agd,20,async_label_prop,connectivity,false,23,119,0.0516
"hic_5k_net_6.json",192,ecc,2,connected_components,connectivity,false,3,2,0.0218
"hic_5k_net_6.json",192,ecc,2,modularity,connectivity,false,5,7,0.2694
"hic_5k_net_6.json",192,ecc,2,async_label_prop,connectivity,false,3,2,0.189
"hic_5k_net_6.json",192,ecc,20,connected_components,connectivity,false,7,9,0.0225
"hic_5k_net_6.json",192,ecc,20,modularity,connectivity,false,9,18,0.2187
"hic_5k_net_6.json",192,ecc,20,async_label_prop,connectivity,false,7,9,0.1555
"hic_5k_net_6.json",192,pr_0_85,2,connected_components,connectivity,false,4,3,0.0149
"hic_5k_net_6.json",192,pr_0_85,2,modularity,connectivity,false,6,8,0.1532
"hic_5k_net_6.json",192,pr_0_85,2,async_label_prop,connectivity,false,6,7,0.1118
"hic_5k_net_6.json",192,pr_0_85,20,connected_components,connectivity,false,37,294,0.0162
"hic_5k_net_6.json",192,pr_0_85,20,modularity,connectivity,false,44,436,0.0564
"hic_5k_net_6.json",192,pr_0_85,20,async_label_prop,connectivity,false,42,386,0.0538
"hic_5k_net_6.json",192,fv,2,connected_components,connectivity,false,2,1,0.0157
"hic_5k_net_6.json",192,fv,2,modularity,connectivity,false,4,3,0.2112
"hic_5k_net_6.json",192,fv,2,async_label_prop,connectivity,false,3,2,0.1669
"hic_5k_net_6.json",192,fv,20,connected_components,connectivity,false,2,1,0.0165
"hic_5k_net_6.json",192,fv,20,modularity,connectivity,false,4,3,0.2223
"hic_5k_net_6.json",192,fv,20,async_label_prop,connectivity,false,2,1,0.1022
"hic_5k_net_6.json",192,fv_norm,2,connected_components,connectivity,false,2,1,0.0157
"hic_5k_net_6.json",192,fv_norm,2,modularity,connectivity,false,4,3,0.2109
"hic_5k_net_6.json",192,fv_norm,2,async_label_prop,connectivity,false,3,2,0.1662
