record #,subjectId,age,gender,vision,vis,secondsOnPage,userSelection,img1,img2,img3,img4,baseline
285,9,,,,,3.945,Option 1,"user_barbell_graph(50,20)_pr_0_85_20_modularity.png",user_bio-diseasome_den_0_5_20_modularity.png,"user_barbell_graph(50,20)_ecc_20_modularity.png",user_map_of_science_fv_20_modularity.png,"user_barbell_graph(50,20).png"
291,9,,,,,2.615,Option 4,user_enron-email_den_0_5_30_async_label_prop.png,user_bio-celegans_pr_0_85_30_async_label_prop.png,user_enron-email_ecc_30_async_label_prop.png,user_movies_fv_30_async_label_prop.png,user_enron-email.png
298,9,,,,,2.456,Option 3,"user_watts_strogatz_graph(100,5,0.05)_den_0_5_30_connected_components.png","user_barbell_graph(50,20)_pr_0_85_30_connected_components.png",user_bio-diseasome_pr_0_85_30_connected_components.png,user_bio-diseasome_agd_30_connected_components.png,user_bio-diseasome.png
303,9,,,,,4.63,Unsure,"user_random_lobster(100,0_6,0_4)_agd_20_connected_components.png",user_usair97_ecc_20_connected_components.png,user_usair97_agd_20_connected_components.png,user_bcsstk22_agd_20_connected_components.png,user_usair97.png
310,9,,,,,3.392,Option 1,user_dorogovtsev_goltsev_mendes_graph(5)_agd_6_modularity.png,user_dorogovtsev_goltsev_mendes_graph(5)_pr_0_85_6_modularity.png,user_bcsstk20_pr_0_85_6_modularity.png,user_usair97_pr_0_85_6_modularity.png,user_dorogovtsev_goltsev_mendes_graph(5).png
295,10,55,M,N,3,,,,,,,
368,10,,,,,15.464,Option 4,user_circular_ladder_graph(100)_agd_6_async_label_prop.png,user_bn-mouse-visual-cortex-2_pr_0_85_6_async_label_prop.png,user_dorogovtsev_goltsev_mendes_graph(5)_pr_0_85_6_async_label_prop.png,user_dorogovtsev_goltsev_mendes_graph(5)_fv_6_async_label_prop.png,user_dorogovtsev_goltsev_mendes_graph(5).png
386,10,,,,,13.806,Option 3,user_bcsstk20_den_0_5_10_async_label_prop.png,"user_connected_caveman_graph(15,30)_agd_10_async_label_prop.png",user_bcsstk20_fv_10_async_label_prop.png,user_dorogovtsev_goltsev_mendes_graph(5)_agd_10_async_label_prop.png,user_bcsstk20.png
404,10,,,,,10.688,Option 4,user_circular_ladder_graph(100)_agd_20_async_label_prop.png,user_hic_5k_net_6_den_0_5_20_async_label_prop.png,user_circular_ladder_graph(100)_den_0_5_20_async_label_prop.png,user_bcsstk22_fv_20_async_label_prop.png,user_circular_ladder_graph(100).png
414,10,,,,,4.148,Option 3,"user_connected_caveman_graph(15,30)_ecc_30_connected_components.png",user_enron-email_ecc_30_connected_components.png,user_enron-email_pr_0_85_30_connected_components.png,user_hic_5k_net_6_den_0_5_30_connected_components.png,user_enron-email.png
422,10,,,,,5.206,Option 2,user_bcsstk_pr_0_85_30_modularity.png,user_map_of_science_den_0_5_30_modularity.png,"user_random_lobster(100,0_6,0_4)_den_0_5_30_modularity.png",user_map_of_science_fv_30_modularity.png,user_map_of_science.png
430,10,,,,,4.081,Option 4,"user_ring_of_cliques(6,70)_den_0_5_30_modularity.png","user_barbell_graph(50,20)_den_0_5_30_modularity.png",user_caltech_fv_30_modularity.png,user_caltech_den_0_5_30_modularity.png,user_caltech.png
